ID,Place Name,Latitude,Longitude
1638432128,"Batiment E27 Sidi Ahmed, E27, Rue Amari Hamid, Sidi Ahmed, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7585302,5.0581514
1638432433,"Som's, 35, Rue des Frères Mellali, Cité Zerrara, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7559612,5.0563879
1638432500,"Boulevard des frères Tikharoubine, Sidi Ahmed, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7615597,5.060761
1638432547,"Dar Naceur, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7670826,5.0605385
1638432760,"Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.760027,5.0774834
1638477574,"Lḥuma Munjen, Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7530996,5.0874022
1638477680,"Place Medjahed Cherif, Lḥuma Munjen, Les Babors, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7526805,5.0835854
1638477711,"Boulevard des frères Amrani, Les Babors, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7505062,5.0846207
1638477880,"Chemin Ouaret Rabah, Cité Sidi Bouali, Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.759176,5.0950331
1638478014,"Boulevard des frères Tifaoui, Ex. SNTV, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.747531,5.0745878
1638556929,"Cité Frères Mebroukine, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7546166,5.0729903
1638556930,"Kalitus, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7569801,5.0751468
1638556967,"Boulevard des Frères Ouakouche, Lḥuma Aḍrar, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7317236,5.0612292
